Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta Correcta,Tiene Imagen
"¿Cuál es el nombre del dragón anciano conocido como el ""Dragón del Viento""?",Teostra,Kushala Daora,Lunastra,Chameleos,2,none
"¿Qué monstruo es conocido como el ""Emperador de las Llamas""?",Rathalos,Teostra,Fatalis,Rajang,2,none
"¿Qué tipo de arma tiene la habilidad de ""cargar"" para lanzar disparos potentes?",Espadón,Arco,Ballesta Pesada,Hacha Cargada,4,none
¿Cómo se llama la región helada introducida en *Monster Hunter World: Iceborne*?,Bosque Prístino,Tundra Helada,Risco Glacial,El Vedado Glacial,4,none
¿Qué monstruo debutó como el principal en *Monster Hunter Rise*?,Magnamalo,Nargacuga,Rathian,Zinogre,1,none
¿Qué elemento suele estar asociado a la mayoría de los ataques del Barioth?,Fuego,Hielo,Dragón,Parálisis,2,none
"¿Qué monstruo es conocido como el ""Señor de los Cielos""?",Rathalos,Kirin,Zinogre,Valstrax,1,none
¿Cuál de estos monstruos es considerado un Dragón Anciano?,Barroth,Velkhana,Rathalos,Bazelgeuse,2,none
¿Qué ítem necesitas para capturar a un monstruo?,Trampa de choque y bombas tranquilizantes,Trampa de impacto y redes de captura,Somníferos y jaula,Red eléctrica y bombas flash,1,none
¿Qué monstruo tiene un diseño inspirado en murciélagos vampiros?,Nargacuga,Barioth,Gore Magala,Malzeno,4,none
¿Qué título introdujo el Modo Frenesí (*Frenzy Mode*) en los monstruos?,Monster Hunter Generations,Monster Hunter 4 Ultimate,Monster Hunter World,Monster Hunter Freedom Unite,2,none
¿Qué elemento utiliza principalmente el Lagiacrus?,Electricidad,Agua,Hielo,Veneno,1,none
"¿Cuál es este monstruo?","Rathalos","Zinogre","Nergigante","Magnamalo",2,Zinogre
"¿Cuál es este monstruo?","Teostra","Zinogre","Nergigante","Magnamalo",3,Nergigante
"¿Cuál es este monstruo?","Rathian","Rathalos","Kirin","Velkhana",2,Rathalos
"¿Cuál es este monstruo?","Nergigante","Zinogre","Kirin","Velkhana",4,Velkhana
"¿Cuál es este monstruo?","Lunastra","Kirin","Teostra","Nergigante",3,Teostra
"¿Qué ítem es este?","Antídoto","Bebida Fría","Mega Poción","Trampa de Choque",3,Mega_Potion
"¿Qué ítem es este?","Trampa de Choque","Trampa de Impacto","Red de Captura","Bombas Flash",1,Shock_Trap
"¿Qué ítem es este?","Carne a la Parrilla","Hierbas","Pociones","Bebida Caliente",1,Well-done_Steak
"¿Qué ítem es este?","Bebida Caliente","Bebida Fría","Antídoto","Hierbas",2,Cold_Drink
"¿Qué ítem es este?","Bebida Fría","Mega Poción","Antídoto","Hierbas",3,Antidote

